Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID19833 : ID5600),0,19833,5600,0.762,0.500,104.728,149.826,18.538,0.873,0.873,None
(ID5600 : ID13847),0,5600,13847,1.166,1.500,103.835,149.954,18.368,1.080,1.080,None
(ID13847 : ID17265),0,13847,17265,2.827,2.500,104.172,150.066,18.362,1.681,1.681,None
(ID17265 : ID12033),0,17265,12033,0.141,3.500,104.974,150.222,18.734,0.375,0.375,None
(ID12033 : ID1570),0,12033,1570,1.081,4.500,105.233,150.578,18.461,1.040,1.040,None
(ID1570 : ID10241),0,1570,10241,0.473,5.500,105.344,150.752,18.372,0.688,0.688,None
(ID10241 : ID5626),0,10241,5626,2.001,6.500,104.534,150.482,18.586,1.415,1.415,None
(ID5626 : ID41487),0,5626,41487,1.024,7.500,104.069,149.787,18.514,1.012,1.012,None
(ID41487 : ID22626),0,41487,22626,2.216,8.500,103.788,148.962,18.979,1.489,1.489,None
(ID22626 : ID38912),0,22626,38912,0.543,9.500,103.134,148.663,19.104,0.737,0.737,None
(ID38912 : ID25263),0,38912,25263,1.312,10.500,102.834,149.255,18.954,1.145,1.145,None
(ID25263 : ID32783),0,25263,32783,0.570,11.500,102.744,149.894,19.482,0.755,0.755,None
(ID32783 : ID36324),0,32783,36324,1.062,12.500,102.940,150.052,19.357,1.031,1.031,None
(ID36324 : ID28081),0,36324,28081,0.015,13.500,103.108,150.054,18.903,0.121,0.121,None
(ID28081 : ID32346),0,28081,32346,3.716,14.500,104.030,149.862,19.203,1.928,1.928,None
(ID32346 : ID47471),0,32346,47471,9.592,15.500,104.703,148.193,19.562,3.097,3.097,None
(ID47471 : ID44391),0,47471,44391,0.067,16.500,104.566,146.590,19.662,0.259,0.259,None
(ID44391 : ID50458),0,44391,50458,0.295,17.500,104.871,146.695,19.661,0.543,0.543,None
(ID50458 : ID53504),0,50458,53504,0.104,18.500,105.143,147.021,19.637,0.323,0.323,None
(ID53504 : ID59379),0,53504,59379,3.599,19.500,105.573,146.628,18.931,1.897,1.897,None
(ID59379 : ID56024),0,59379,56024,13.637,20.500,105.734,146.014,16.404,3.693,3.693,None
(ID59379 : ID56274),0,59379,56274,1.638,20.500,105.873,145.728,17.714,1.280,1.280,None
(ID56024 : ID64904),0,56024,64904,0.473,21.500,105.606,145.624,14.692,0.688,0.688,None
(ID64904 : ID62266),0,64904,62266,5.730,22.500,105.790,145.095,15.986,2.394,2.394,None
(ID62266 : ID70673),0,62266,70673,2.788,23.500,106.315,145.154,16.487,1.670,1.670,None
(ID70673 : ID68000),0,70673,68000,3.292,24.500,106.514,146.026,16.465,1.814,1.814,None
(ID68000 : ID76542),0,68000,76542,15.049,25.500,106.772,147.946,18.451,3.879,3.879,None
(ID76542 : ID73797),0,76542,73797,2.011,26.500,107.488,148.965,19.197,1.418,1.418,None
(ID73797 : ID81720),0,73797,81720,5.561,27.500,106.907,148.715,17.766,2.358,2.358,None
(ID81720 : ID78911),0,81720,78911,2.819,28.500,105.470,148.880,16.361,1.679,1.679,None
(ID78911 : ID84011),0,78911,84011,1.989,29.500,104.958,149.121,15.110,1.410,1.410,None
(ID20342 : ID6874),1,20342,6874,1.905,0.500,33.286,192.051,26.683,1.380,1.380,None
(ID6874 : ID14337),1,6874,14337,0.101,1.500,32.655,192.054,26.720,0.318,0.318,None
(ID14337 : ID17850),1,14337,17850,1.364,2.500,33.116,192.261,26.852,1.168,1.168,None
(ID17850 : ID15482),1,17850,15482,0.447,3.500,33.633,192.725,27.378,0.669,0.669,None
(ID15482 : ID2144),1,15482,2144,1.074,4.500,34.157,193.123,27.544,1.036,1.036,None
(ID2144 : ID11268),1,2144,11268,0.520,5.500,34.341,193.225,27.212,0.721,0.721,None
(ID11268 : ID6748),1,11268,6748,1.848,6.500,33.633,192.572,26.946,1.359,1.359,None
(ID6748 : ID41963),1,6748,41963,2.113,7.500,33.542,191.504,26.630,1.454,1.454,None
(ID41963 : ID23143),1,41963,23143,1.665,8.500,34.081,190.391,26.671,1.290,1.290,None
(ID23143 : ID39559),1,23143,39559,0.227,9.500,34.127,189.810,27.172,0.476,0.476,None
(ID39559 : ID25657),1,39559,25657,5.433,10.500,33.156,190.371,26.837,2.331,2.331,None
(ID25657 : ID33790),1,25657,33790,1.415,11.500,32.658,191.344,26.605,1.190,1.190,None
(ID33790 : ID36844),1,33790,36844,0.308,12.500,33.014,191.939,27.076,0.555,0.555,None
(ID36844 : ID28579),1,36844,28579,0.068,13.500,32.994,192.143,27.120,0.262,0.262,None
(ID28579 : ID33386),1,28579,33386,3.601,14.500,33.885,192.338,26.889,1.898,1.898,None
(ID33386 : ID47920),1,33386,47920,9.125,15.500,36.089,192.138,26.106,3.021,3.021,None
(ID33386 : ID48055),1,33386,48055,12.174,15.500,33.430,193.529,27.223,3.489,3.489,None
(ID47920 : ID44721),1,47920,44721,5.191,16.500,38.454,191.673,25.067,2.278,2.278,None
(ID48055 : ID45035),1,48055,45035,2.266,16.500,32.276,195.205,27.846,1.505,1.505,None
(ID44721 : ID50770),1,44721,50770,1.738,17.500,38.951,191.358,24.541,1.319,1.319,None
(ID45035 : ID51087),1,45035,51087,1.611,17.500,31.882,196.041,27.958,1.269,1.269,None
(ID50770 : ID53827),1,50770,53827,2.292,18.500,38.810,190.506,24.548,1.514,1.514,None
(ID51087 : ID54130),1,51087,54130,4.400,18.500,32.088,195.558,27.689,2.098,2.098,None
(ID53827 : ID59778),1,53827,59778,7.020,19.500,39.532,188.667,24.381,2.650,2.650,None
(ID54130 : ID60100),1,54130,60100,1.267,19.500,32.822,195.479,27.608,1.126,1.126,None
(ID59778 : ID56731),1,59778,56731,13.791,20.500,39.688,185.623,23.581,3.714,3.714,None
(ID60100 : ID57049),1,60100,57049,3.297,20.500,32.263,196.797,27.676,1.816,1.816,None
(ID57049 : ID65930),1,57049,65930,23.449,21.500,33.173,199.515,27.209,4.842,4.842,None
(ID56731 : ID65765),1,56731,65765,23.527,21.500,37.364,183.951,24.139,4.850,4.850,None
(ID65930 : ID63056),1,65930,63056,8.900,22.500,33.140,201.504,27.258,2.983,2.983,None
(ID65765 : ID62725),1,65765,62725,2.898,22.500,35.260,183.378,24.675,1.702,1.702,None
(ID63056 : ID71557),1,63056,71557,0.416,23.500,31.898,201.525,27.998,0.645,0.645,None
(ID71557 : ID68588),1,71557,68588,10.587,24.500,33.331,201.115,27.315,3.254,3.254,None
(ID68588 : ID77008),1,68588,77008,2.820,25.500,34.715,201.505,26.063,1.679,1.679,None
(ID77008 : ID74245),1,77008,74245,22.898,26.500,35.493,199.978,25.749,4.785,4.785,None
(ID74245 : ID82278),1,74245,82278,2.427,27.500,35.794,198.372,25.731,1.558,1.558,None
(ID82278 : ID79566),1,82278,79566,1.051,28.500,35.413,199.565,25.616,1.025,1.025,None
(ID79566 : ID84831),1,79566,84831,1.499,29.500,35.183,200.528,25.156,1.225,1.225,None
(ID19835 : ID5608),3,19835,5608,0.554,0.500,51.428,156.552,17.125,0.744,0.744,None
(ID5608 : ID13849),3,5608,13849,0.636,1.500,50.803,156.993,17.070,0.798,0.798,None
(ID13849 : ID17268),3,13849,17268,1.214,2.500,50.904,157.389,17.354,1.102,1.102,None
(ID17268 : ID11813),3,17268,11813,0.400,3.500,51.539,157.585,17.881,0.632,0.632,None
(ID11813 : ID1571),3,11813,1571,1.542,4.500,52.342,157.732,18.118,1.242,1.242,None
(ID1571 : ID10249),3,1571,10249,1.567,5.500,52.397,157.717,17.851,1.252,1.252,None
(ID10249 : ID5634),3,10249,5634,0.459,6.500,51.554,157.397,17.587,0.678,0.678,None
(ID5634 : ID41488),3,5634,41488,1.224,7.500,51.693,156.954,17.369,1.106,1.106,None
(ID41488 : ID22515),3,41488,22515,1.480,8.500,51.839,156.337,17.567,1.217,1.217,None
(ID22515 : ID38914),3,22515,38914,2.907,9.500,50.713,155.934,17.841,1.705,1.705,None
(ID38914 : ID25172),3,38914,25172,1.431,10.500,49.426,156.243,17.554,1.196,1.196,None
(ID25172 : ID32582),3,25172,32582,1.563,11.500,49.132,157.193,17.575,1.250,1.250,None
(ID32582 : ID36228),3,32582,36228,0.677,12.500,49.540,157.967,18.005,0.823,0.823,None
(ID36228 : ID27977),3,36228,27977,0.495,13.500,49.933,158.330,17.989,0.703,0.703,None
(ID27977 : ID32147),3,27977,32147,1.625,14.500,50.676,158.666,17.599,1.275,1.275,None
(ID32147 : ID47229),3,32147,47229,13.855,15.500,53.072,158.472,17.132,3.722,3.722,None
(ID32147 : ID47352),3,32147,47352,6.629,15.500,50.061,158.558,17.792,2.575,2.575,None
(ID47229 : ID44145),3,47229,44145,3.355,16.500,55.630,158.034,16.284,1.832,1.832,None
(ID47352 : ID44266),3,47352,44266,2.181,16.500,48.450,158.901,18.197,1.477,1.477,None
(ID44266 : ID50343),3,44266,50343,19.303,17.500,48.398,157.418,17.755,4.393,4.393,None
(ID44145 : ID50219),3,44145,50219,50.315,17.500,56.813,161.468,16.051,7.093,7.093,None
(ID50219 : ID53396),3,50219,53396,12.265,18.500,55.655,164.910,17.076,3.502,3.502,None
(ID50343 : ID53392),3,50343,53392,3.045,18.500,49.222,154.590,17.225,1.745,1.745,None
(ID53396 : ID59262),3,53396,59262,5.287,19.500,54.005,163.901,17.179,2.299,2.299,None
(ID59262 : ID56169),3,59262,56169,0.417,20.500,53.652,162.866,16.388,0.646,0.646,None
(ID56169 : ID65186),3,56169,65186,0.498,21.500,53.367,162.950,16.560,0.706,0.706,None
