Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,CELL_DIVISION_TIME,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID19833,19833,0,105.411,105.155,149.795,18.453,0,0,3,1,None,-10921639,32924.395,32925,32907,32945,13070985,8.358,5.007,2.823E-4,2.224
ID5600,5600,0,104.212,104.301,149.857,18.623,1,1,3,1,None,-10921639,32922.715,32923,32900,32943,13070318,9.223,4.977,2.753E-4,1.965
ID13847,13847,0,103.733,103.369,150.052,18.112,2,2,3,1,None,-10921639,32925.564,32926,32904,32946,13071449,8.846,4.989,2.811E-4,2.092
ID17265,17265,0,105.320,104.975,150.080,18.612,3,3,3,1,None,-10921639,32924.121,32925,32897,32946,13070876,10.807,8.635,2.716E-4,1.654
ID12033,12033,0,103.400,104.974,150.364,18.857,4,4,3,1,None,-10921639,32927.997,32928,32912,32949,13072415,7.787,4.984,2.702E-4,2.285
ID1570,1570,0,112.044,105.491,150.793,18.064,5,5,3,1,None,-10921639,32926.411,32927,32907,32949,13071785,9.490,4.974,3.075E-4,2.133
ID10241,10241,0,108.793,105.196,150.712,18.680,6,6,3,1,None,-10921639,32926.620,32927,32905,32947,13071868,9.378,5.014,2.901E-4,2.037
ID5626,5626,0,108.434,103.872,150.252,18.491,7,7,3,1,None,-10921639,32930.353,32931,32911,32955,13073350,9.077,5.010,3.007E-4,2.181
ID41487,41487,0,106.258,104.266,149.321,18.536,8,8,3,1,None,-10921639,32929.985,32930,32912,32950,13073204,8.599,5.003,2.753E-4,2.108
ID22626,22626,0,116.072,103.310,148.603,19.423,9,9,3,1,None,-10921639,32929.597,32928,32909,32954,13073050,10.596,4.974,3.010E-4,1.870
